0000;158;H=60;T=31;Hs=53.97221;sp=2;sf=12;lost_time=0;rx_timestamp=2811123185; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;162;H=57;T=33;Hs=54.75597;sp=2;sf=12;lost_time=0;rx_timestamp=4012681172; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;166;H=56;T=33;Hs=54.72034;sp=2;sf=12;lost_time=1;rx_timestamp=919268541; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;170;H=46;T=38;Hs=55.14785;sp=2;sf=12;lost_time=0;rx_timestamp=2122902236; rssi=-105; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;174;H=47;T=38;Hs=55.18347;sp=2;sf=12;lost_time=0;rx_timestamp=3324462801; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;178;H=52;T=36;Hs=55.2191;sp=2;sf=12;lost_time=0;rx_timestamp=249749899; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;182;H=51;T=36;Hs=55.11222;sp=2;sf=12;lost_time=1;rx_timestamp=1451308719; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;186;H=49;T=36;Hs=55.18347;sp=2;sf=12;lost_time=0;rx_timestamp=2653965721; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;190;H=50;T=34;Hs=55.96723;sp=2;sf=12;lost_time=0;rx_timestamp=3855519454; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;194;H=40;T=39;Hs=55.57535;sp=2;sf=12;lost_time=0;rx_timestamp=762110934; rssi=-108; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;198;H=52;T=34;Hs=55.43285;sp=2;sf=12;lost_time=0;rx_timestamp=1963660880; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;202;H=46;T=35;Hs=56.71535;sp=2;sf=12;lost_time=0;rx_timestamp=3165219658; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;206;H=51;T=34;Hs=55.46847;sp=2;sf=12;lost_time=0;rx_timestamp=71804346; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;210;H=54;T=32;Hs=55.14785;sp=2;sf=12;lost_time=1;rx_timestamp=1273356572; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;214;H=63;T=29;Hs=54.7916;sp=2;sf=12;lost_time=0;rx_timestamp=2474914429; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;218;H=77;T=26;Hs=55.18347;sp=2;sf=12;lost_time=0;rx_timestamp=3676468348; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;222;H=73;T=25;Hs=55.14785;sp=2;sf=12;lost_time=0;rx_timestamp=583066945; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;226;H=78;T=24;Hs=54.29284;sp=2;sf=12;lost_time=0;rx_timestamp=1784624527; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;230;H=85;T=24;Hs=54.29284;sp=2;sf=12;lost_time=0;rx_timestamp=2986177460; rssi=-109; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;234;H=90;T=24;Hs=54.07909;sp=2;sf=12;lost_time=0;rx_timestamp=4187799971; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;238;H=94;T=24;Hs=54.72034;sp=2;sf=12;lost_time=1;rx_timestamp=1094390853; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;242;H=95;T=24;Hs=54.07909;sp=2;sf=12;lost_time=0;rx_timestamp=2295942516; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;246;H=58;T=31;Hs=54.11472;sp=2;sf=12;lost_time=0;rx_timestamp=2996642434; rssi=-93; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
