2024-07-06 13:30:45.825009;153;H=70;T=29;Hs=32.77521;sp=20;sf=7;rx_timestamp=1057772043; rssi=-124; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:31:32.310126;157;H=70;T=29;Hs=32.66833;sp=20;sf=7;rx_timestamp=1104366026; rssi=-124; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:41:00.274531;205;H=68;T=28;Hs=32.09832;sp=20;sf=7;rx_timestamp=1671935839; rssi=-119; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:03:28.907409;319;H=66;T=28;Hs=31.81332;sp=20;sf=7;rx_timestamp=3021041786; rssi=-126; snr=-9.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:07:56.372817;341;H=65;T=28;Hs=31.74207;sp=20;sf=7;rx_timestamp=3287786823; rssi=-122; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;343;H=67;T=29;Hs=31.84895;sp=20;sf=7;rx_timestamp=3311083826; rssi=-120; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:09:05.444245;347;H=65;T=28;Hs=31.42145;sp=20;sf=7;rx_timestamp=3357678824; rssi=-124; snr=-7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:10:40.954113;355;H=64;T=28;Hs=31.4927;sp=20;sf=7;rx_timestamp=3452988777; rssi=-116; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:12:13.877459;363;H=66;T=27;Hs=31.9202;sp=20;sf=7;rx_timestamp=3546206795; rssi=-121; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 14:13:00.875472;367;H=68;T=27;Hs=31.52832;sp=20;sf=7;rx_timestamp=3592807849; rssi=-115; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
