1;H=84;T=24;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=0; tx_trials=0; tx_power=2; tx_time_on_air=0; tx_counter=0; tx_frequency=0
309;H=57;T=32;Hs=49.66156;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=308; tx_frequency=868000000
313;H=58;T=32;Hs=49.69718;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=312; tx_frequency=868000000
317;H=55;T=32;Hs=49.55468;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=316; tx_frequency=868000000
321;H=59;T=32;Hs=49.55468;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=320; tx_frequency=868000000
325;H=59;T=33;Hs=49.91094;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=324; tx_frequency=868000000
329;H=55;T=33;Hs=49.80406;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=328; tx_frequency=868000000
333;H=56;T=33;Hs=49.59031;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=332; tx_frequency=868000000
337;H=56;T=33;Hs=49.62594;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=336; tx_frequency=868000000
341;H=55;T=33;Hs=49.62594;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=340; tx_frequency=868000000
345;H=54;T=34;Hs=49.55468;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=344; tx_frequency=868000000
349;H=54;T=34;Hs=49.41219;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=348; tx_frequency=868000000
353;H=53;T=34;Hs=49.41219;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=352; tx_frequency=868000000
357;H=51;T=35;Hs=49.55468;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=356; tx_frequency=868000000
361;H=49;T=36;Hs=49.59031;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=360; tx_frequency=868000000
365;H=46;T=36;Hs=49.55468;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=364; tx_frequency=868000000
369;H=50;T=35;Hs=49.51906;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=368; tx_frequency=868000000
373;H=50;T=35;Hs=49.55468;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=372; tx_frequency=868000000
377;H=52;T=34;Hs=50.01781;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=376; tx_frequency=868000000
381;H=53;T=34;Hs=49.87531;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=380; tx_frequency=868000000
385;H=49;T=34;Hs=49.76844;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=384; tx_frequency=868000000
389;H=51;T=35;Hs=49.59031;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=388; tx_frequency=868000000
393;H=48;T=35;Hs=49.87531;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=392; tx_frequency=868000000
397;H=53;T=34;Hs=49.87531;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=396; tx_frequency=868000000
401;H=54;T=34;Hs=49.62594;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=400; tx_frequency=868000000
405;H=51;T=35;Hs=49.80406;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=404; tx_frequency=868000000
409;H=51;T=34;Hs=50.16031;sp=2;sf=7;rx_timestamp=2364012801; rssi=-118; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=2302; tx_counter=408; tx_frequency=868000000
